CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
12/24/2019,14:10,,Unspecified,1
12/24/2019,17:00,,Unspecified,1
12/24/2019,21:06,,Unspecified,1
12/24/2019,9:00,,Unsafe Lane Changing,1
12/24/2019,13:55,,Other Vehicular,1
12/24/2019,12:00,,Unspecified,1
12/24/2019,8:50,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,7:42,QUEENS,Passing or Lane Usage Improper,1
12/24/2019,15:00,,Traffic Control Disregarded,1
12/24/2019,11:25,BRONX,Following Too Closely,1
12/24/2019,9:30,MANHATTAN,Following Too Closely,1
12/24/2019,11:10,QUEENS,Driver Inattention/Distraction,1
12/24/2019,18:25,,,1
12/24/2019,21:00,BRONX,,1
12/24/2019,14:45,,Driver Inattention/Distraction,1
12/24/2019,14:40,BRONX,Failure to Yield Right-of-Way,1
12/24/2019,10:15,,Outside Car Distraction,1
12/24/2019,3:00,BRONX,Failure to Yield Right-of-Way,1
12/24/2019,17:34,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,20:27,MANHATTAN,Unspecified,1
12/24/2019,21:47,BROOKLYN,Unspecified,1
12/24/2019,2:21,BROOKLYN,Unspecified,1
12/24/2019,16:58,QUEENS,Driver Inattention/Distraction,1
12/24/2019,18:47,BROOKLYN,Following Too Closely,1
12/24/2019,16:20,QUEENS,Driver Inattention/Distraction,1
12/24/2019,19:32,,Traffic Control Disregarded,1
12/24/2019,15:30,BROOKLYN,Unspecified,1
12/24/2019,0:12,QUEENS,Alcohol Involvement,1
12/24/2019,15:59,BROOKLYN,View Obstructed/Limited,1
12/24/2019,8:00,,Unspecified,1
12/24/2019,12:55,,Outside Car Distraction,1
12/24/2019,7:30,,Following Too Closely,1
12/24/2019,17:02,,Following Too Closely,1
12/24/2019,17:45,QUEENS,Driver Inattention/Distraction,1
12/24/2019,9:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,12:31,BRONX,Failure to Yield Right-of-Way,1
12/24/2019,14:33,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,13:00,QUEENS,Unspecified,1
12/24/2019,14:18,,Passing or Lane Usage Improper,1
12/24/2019,6:20,BROOKLYN,Backing Unsafely,1
12/24/2019,9:40,BRONX,Unspecified,1
12/24/2019,6:22,,Failure to Yield Right-of-Way,1
12/24/2019,23:45,BRONX,Backing Unsafely,1
12/24/2019,17:21,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,15:15,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,10:40,BROOKLYN,Passing Too Closely,1
12/24/2019,11:32,,Unspecified,1
12/24/2019,8:15,,Unspecified,1
12/24/2019,21:00,BROOKLYN,Unspecified,1
12/24/2019,14:50,QUEENS,Driver Inattention/Distraction,1
12/24/2019,23:57,QUEENS,Unspecified,1
12/24/2019,17:30,QUEENS,Driver Inattention/Distraction,1
12/24/2019,6:15,MANHATTAN,Passing Too Closely,1
12/24/2019,21:33,BROOKLYN,Unspecified,1
12/24/2019,21:24,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,4:39,,Driver Inattention/Distraction,1
12/24/2019,12:10,,Unsafe Lane Changing,1
12/24/2019,19:55,QUEENS,Driver Inattention/Distraction,1
12/24/2019,13:15,QUEENS,Unspecified,1
12/24/2019,10:13,BRONX,Backing Unsafely,1
12/24/2019,22:40,BRONX,Unspecified,1
12/24/2019,15:20,BRONX,Backing Unsafely,1
12/24/2019,16:15,STATEN ISLAND,Failure to Yield Right-of-Way,1
12/24/2019,10:31,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,15:30,QUEENS,Unspecified,1
12/24/2019,12:25,MANHATTAN,Following Too Closely,1
12/24/2019,16:00,,Failure to Keep Right,1
12/24/2019,11:07,BRONX,Unspecified,1
12/24/2019,18:15,MANHATTAN,Driver Inattention/Distraction,1
