CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
1/13/2020,18:30,,Brakes Defective,1
1/13/2020,8:30,,Driver Inattention/Distraction,1
1/13/2020,9:20,QUEENS,View Obstructed/Limited,1
1/13/2020,16:56,BRONX,Fatigued/Drowsy,1
1/13/2020,21:00,,Unspecified,1
1/13/2020,16:10,QUEENS,Passing or Lane Usage Improper,1
1/13/2020,15:15,MANHATTAN,Failure to Keep Right,1
1/13/2020,9:20,MANHATTAN,Unspecified,1
1/13/2020,12:34,,Following Too Closely,1
1/13/2020,4:39,MANHATTAN,Unspecified,1
1/13/2020,20:21,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,12:05,,Unspecified,1
1/13/2020,7:18,,Driver Inattention/Distraction,1
1/13/2020,21:05,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,16:18,BROOKLYN,Unsafe Lane Changing,1
1/13/2020,18:05,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,0:00,BRONX,Failure to Yield Right-of-Way,1
1/13/2020,5:55,QUEENS,Other Lighting Defects,1
1/13/2020,8:00,,Driver Inattention/Distraction,1
1/13/2020,11:27,,Backing Unsafely,1
1/13/2020,13:20,,Following Too Closely,1
1/13/2020,14:30,MANHATTAN,Unspecified,1
1/13/2020,19:42,QUEENS,Passing or Lane Usage Improper,1
1/13/2020,12:30,QUEENS,Following Too Closely,1
1/13/2020,17:15,,Unsafe Lane Changing,1
1/13/2020,19:27,BRONX,Backing Unsafely,1
1/13/2020,2:15,,Unspecified,1
1/13/2020,8:50,,Passing or Lane Usage Improper,1
1/13/2020,13:03,,Driver Inattention/Distraction,1
1/13/2020,11:00,QUEENS,Driver Inattention/Distraction,1
1/13/2020,17:25,,Driver Inattention/Distraction,1
1/13/2020,17:25,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,6:35,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,7:11,BRONX,Driver Inattention/Distraction,1
1/13/2020,22:45,,Unsafe Speed,1
1/13/2020,20:37,,Driver Inattention/Distraction,1
1/13/2020,15:45,,Passing Too Closely,1
1/13/2020,6:40,QUEENS,Passing or Lane Usage Improper,1
1/13/2020,0:13,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,18:00,BROOKLYN,Unspecified,1
1/13/2020,10:10,QUEENS,Driver Inattention/Distraction,1
1/13/2020,18:20,,Following Too Closely,1
1/13/2020,13:35,,Unspecified,1
1/13/2020,14:09,,Unspecified,1
1/13/2020,15:00,BRONX,Unspecified,1
1/13/2020,7:30,QUEENS,Following Too Closely,1
1/13/2020,19:20,QUEENS,Driver Inattention/Distraction,1
1/13/2020,12:50,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,17:30,,Following Too Closely,1
1/13/2020,7:45,QUEENS,Passing Too Closely,1
1/13/2020,10:05,QUEENS,Brakes Defective,1
1/13/2020,17:05,,Failure to Yield Right-of-Way,1
1/13/2020,23:16,,Driver Inattention/Distraction,1
1/13/2020,8:19,BRONX,Driver Inattention/Distraction,1
1/13/2020,9:01,BROOKLYN,Failure to Yield Right-of-Way,1
1/13/2020,16:00,QUEENS,Reaction to Uninvolved Vehicle,1
1/13/2020,16:35,,Unspecified,1
1/13/2020,10:45,BROOKLYN,Passing Too Closely,1
1/13/2020,6:45,,Unspecified,1
1/13/2020,20:00,BRONX,Driver Inattention/Distraction,1
1/13/2020,7:25,BROOKLYN,Unspecified,1
1/13/2020,10:21,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,8:45,QUEENS,Driver Inattention/Distraction,1
1/13/2020,13:30,BRONX,Unspecified,1
1/13/2020,18:20,,Reaction to Uninvolved Vehicle,1
1/13/2020,15:00,QUEENS,Unspecified,1
1/13/2020,12:00,BROOKLYN,Backing Unsafely,1
1/13/2020,13:44,,Unspecified,1
1/13/2020,19:40,,Reaction to Uninvolved Vehicle,1
1/13/2020,14:50,BRONX,Unspecified,1
1/13/2020,13:00,BROOKLYN,Unspecified,1
1/13/2020,11:25,,Reaction to Uninvolved Vehicle,1
1/13/2020,20:46,BRONX,Driver Inattention/Distraction,1
1/13/2020,22:00,BRONX,,1
1/13/2020,0:00,QUEENS,Unspecified,1
1/13/2020,0:40,BROOKLYN,Passing Too Closely,1
1/13/2020,8:30,BRONX,Oversized Vehicle,1
1/13/2020,19:30,QUEENS,Driver Inattention/Distraction,1
1/13/2020,15:00,BROOKLYN,Unspecified,1
1/13/2020,17:10,BRONX,Driver Inattention/Distraction,1
1/13/2020,9:15,BROOKLYN,Following Too Closely,1
1/13/2020,11:15,,Unsafe Lane Changing,1
1/13/2020,12:45,,Driver Inattention/Distraction,1
1/13/2020,21:30,,View Obstructed/Limited,1
1/13/2020,12:12,BROOKLYN,Unspecified,1
1/13/2020,3:40,,Unspecified,1
1/13/2020,16:10,,Failure to Yield Right-of-Way,1
1/13/2020,7:50,BROOKLYN,Oversized Vehicle,1
1/13/2020,16:30,BROOKLYN,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,1
1/13/2020,21:00,,Alcohol Involvement,1
1/13/2020,8:40,BRONX,Unsafe Lane Changing,1
1/13/2020,17:45,,Following Too Closely,1
1/13/2020,13:25,,Unspecified,1
1/13/2020,9:30,QUEENS,Backing Unsafely,1
1/13/2020,11:32,MANHATTAN,Unspecified,1
1/13/2020,13:50,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,1:05,BRONX,Alcohol Involvement,1
1/13/2020,17:45,BROOKLYN,Unspecified,1
1/13/2020,18:10,BRONX,Unspecified,1
1/13/2020,12:15,QUEENS,Unspecified,1
1/13/2020,18:50,QUEENS,Following Too Closely,1
1/13/2020,13:00,QUEENS,Unspecified,1
1/13/2020,23:40,BROOKLYN,Unspecified,1
1/13/2020,6:20,,Driver Inattention/Distraction,1
1/13/2020,14:36,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,11:00,,Turning Improperly,1
1/13/2020,14:30,BROOKLYN,Driver Inattention/Distraction,1
