CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
12/31/2019,0:00,BROOKLYN,Unspecified,1
12/31/2019,14:40,,Following Too Closely,1
12/31/2019,17:00,,Unspecified,1
12/31/2019,20:40,,Driver Inattention/Distraction,1
12/31/2019,8:50,,Other Vehicular,1
12/31/2019,9:27,BROOKLYN,Unspecified,1
12/31/2019,0:20,,Failure to Yield Right-of-Way,1
12/31/2019,16:30,BROOKLYN,Unspecified,1
12/31/2019,10:50,QUEENS,Passing Too Closely,1
12/31/2019,11:58,,Following Too Closely,1
12/31/2019,20:00,,Unspecified,1
12/31/2019,18:00,,Unspecified,1
12/31/2019,19:30,BROOKLYN,Passing Too Closely,1
12/31/2019,21:15,QUEENS,Driver Inattention/Distraction,1
12/31/2019,10:20,QUEENS,Traffic Control Disregarded,1
12/31/2019,11:40,MANHATTAN,Passing or Lane Usage Improper,1
12/31/2019,9:55,BROOKLYN,Unspecified,1
12/31/2019,23:35,,Driver Inattention/Distraction,1
12/31/2019,15:15,,Driver Inattention/Distraction,1
12/31/2019,8:25,BRONX,Unspecified,1
12/31/2019,13:48,BRONX,Unsafe Lane Changing,1
12/31/2019,6:15,QUEENS,Unspecified,1
12/31/2019,9:00,,Backing Unsafely,1
12/31/2019,19:30,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,7:00,QUEENS,Passing Too Closely,1
12/31/2019,17:00,MANHATTAN,Turning Improperly,1
12/31/2019,13:10,QUEENS,Unsafe Lane Changing,1
12/31/2019,12:15,QUEENS,Passing Too Closely,1
12/31/2019,17:34,STATEN ISLAND,Driver Inattention/Distraction,1
12/31/2019,18:54,BROOKLYN,Turning Improperly,1
12/31/2019,15:45,BROOKLYN,Passing or Lane Usage Improper,1
12/31/2019,22:34,,Driver Inexperience,1
12/31/2019,11:25,,Driver Inexperience,1
12/31/2019,12:00,QUEENS,Following Too Closely,1
12/31/2019,7:50,BROOKLYN,Following Too Closely,1
12/31/2019,6:30,,Driver Inattention/Distraction,1
12/31/2019,22:00,,Driver Inattention/Distraction,1
12/31/2019,16:30,QUEENS,Driver Inattention/Distraction,1
12/31/2019,19:45,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,14:40,BRONX,Unspecified,1
12/31/2019,12:20,BROOKLYN,Unspecified,1
12/31/2019,12:57,,Traffic Control Disregarded,1
12/31/2019,11:35,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,15:20,BROOKLYN,Other Vehicular,1
12/31/2019,12:40,,Unsafe Speed,1
12/31/2019,0:00,QUEENS,Accelerator Defective,1
12/31/2019,8:37,,Passing or Lane Usage Improper,1
12/31/2019,14:00,QUEENS,Driver Inattention/Distraction,1
12/31/2019,22:24,,Unsafe Lane Changing,1
12/31/2019,20:40,BROOKLYN,Unspecified,1
12/31/2019,14:30,BROOKLYN,Following Too Closely,1
12/31/2019,5:26,MANHATTAN,Unspecified,1
12/31/2019,20:01,BROOKLYN,Unspecified,1
12/31/2019,17:05,,Driver Inattention/Distraction,1
12/31/2019,13:30,BROOKLYN,Passing or Lane Usage Improper,1
12/31/2019,15:00,BROOKLYN,Unsafe Speed,1
12/31/2019,19:42,,Failure to Yield Right-of-Way,1
12/31/2019,18:40,MANHATTAN,Other Vehicular,1
12/31/2019,14:30,,Following Too Closely,1
12/31/2019,16:00,BRONX,Unspecified,1
12/31/2019,21:20,QUEENS,Driver Inattention/Distraction,1
12/31/2019,14:50,QUEENS,Passing Too Closely,1
12/31/2019,8:00,QUEENS,Driver Inattention/Distraction,1
12/31/2019,8:15,,Unspecified,1
12/31/2019,19:00,,Driver Inattention/Distraction,1
12/31/2019,19:52,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,9:30,BROOKLYN,Backing Unsafely,1
12/31/2019,0:00,,Following Too Closely,1
12/31/2019,3:55,,Driver Inattention/Distraction,1
12/31/2019,23:00,QUEENS,Passing or Lane Usage Improper,1
12/31/2019,12:53,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,12:30,,Reaction to Uninvolved Vehicle,1
12/31/2019,17:25,QUEENS,Unspecified,1
12/31/2019,9:39,BRONX,Passing or Lane Usage Improper,1
12/31/2019,14:25,,Other Vehicular,1
12/31/2019,5:52,BROOKLYN,Unspecified,1
12/31/2019,18:26,BRONX,Driver Inattention/Distraction,1
12/31/2019,18:08,,Driver Inattention/Distraction,1
12/31/2019,16:00,,Failure to Yield Right-of-Way,1
12/31/2019,20:15,QUEENS,Passing or Lane Usage Improper,1
12/31/2019,17:50,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,17:09,,Driver Inattention/Distraction,1
12/31/2019,20:52,BROOKLYN,Unspecified,1
12/31/2019,14:30,BROOKLYN,Unspecified,1
12/31/2019,13:35,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,7:30,MANHATTAN,Unspecified,1
12/31/2019,22:18,BROOKLYN,Aggressive Driving/Road Rage,1
12/31/2019,15:40,,Passing Too Closely,1
12/31/2019,11:51,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,15:30,,Following Too Closely,1
12/31/2019,21:30,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,2:13,,Unspecified,1
12/31/2019,11:15,,Reaction to Uninvolved Vehicle,1
12/31/2019,19:18,,Passing or Lane Usage Improper,1
12/31/2019,19:11,BROOKLYN,Passing Too Closely,1
12/31/2019,18:00,,Passing or Lane Usage Improper,1
12/31/2019,18:00,,Failure to Yield Right-of-Way,1
12/31/2019,11:45,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,20:55,BRONX,Reaction to Uninvolved Vehicle,1
12/31/2019,16:08,BRONX,Unspecified,1
12/31/2019,1:59,QUEENS,Alcohol Involvement,1
12/31/2019,9:00,,Driver Inattention/Distraction,1
12/31/2019,10:00,BROOKLYN,Unspecified,1
12/31/2019,16:18,BROOKLYN,Unspecified,1
12/31/2019,22:45,STATEN ISLAND,Alcohol Involvement,1
12/31/2019,14:45,BROOKLYN,Following Too Closely,1
12/31/2019,17:15,,Passing or Lane Usage Improper,1
12/31/2019,20:30,QUEENS,Unspecified,1
12/31/2019,14:00,BRONX,Unspecified,1
12/31/2019,15:00,STATEN ISLAND,Glare,1
12/31/2019,0:18,BROOKLYN,Unspecified,1
12/31/2019,0:37,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,15:00,,Driver Inattention/Distraction,1
12/31/2019,17:40,,Following Too Closely,1
12/31/2019,19:30,,Turning Improperly,1
12/31/2019,7:00,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,11:19,QUEENS,Driver Inattention/Distraction,1
12/31/2019,16:51,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,17:00,,Unspecified,1
12/31/2019,22:05,,Driver Inattention/Distraction,1
12/31/2019,12:15,BROOKLYN,Backing Unsafely,1
