CrashDate,CrashTime,Borough,Cause,Count,Code
2/14/2020,10:20,Unspecified,Following Too Closely,1,A1
2/14/2020,14:10,Unspecified,Unspecified,1,A2
2/14/2020,9:40,Unspecified,Unsafe Lane Changing,1,A3
2/14/2020,14:00,Unspecified,Driver Inattention/Distraction,1,A4
2/14/2020,9:30,MANHATTAN,Unspecified,1,A5
2/14/2020,17:40,BROOKLYN,Turning Improperly,1,A6
2/14/2020,11:20,Unspecified,Driver Inattention/Distraction,1,A7
2/14/2020,17:15,Unspecified,Passing or Lane Usage Improper,1,A8
2/14/2020,22:35,BROOKLYN,Unspecified,1,A9
2/14/2020,21:20,BRONX,Driver Inattention/Distraction,1,A10
2/14/2020,0:20,Unspecified,Driver Inattention/Distraction,1,A11
2/14/2020,19:30,BROOKLYN,Pavement Slippery,1,A12
2/14/2020,6:50,QUEENS,Driver Inattention/Distraction,1,A13
2/14/2020,12:32,QUEENS,Driver Inattention/Distraction,1,A14
2/14/2020,14:30,BRONX,Driver Inattention/Distraction,1,A15
2/14/2020,17:25,QUEENS,Unspecified,1,A16
2/14/2020,14:05,Unspecified,Unspecified,1,A17
2/14/2020,9:20,QUEENS,Driver Inattention/Distraction,1,A18
2/14/2020,18:49,QUEENS,Driver Inattention/Distraction,1,A19
2/14/2020,15:47,Unspecified,Backing Unsafely,1,A20
2/14/2020,15:10,QUEENS,Aggressive Driving/Road Rage,1,A21
2/14/2020,22:00,QUEENS,Driver Inattention/Distraction,1,A22
2/14/2020,9:00,Unspecified,Failure to Yield Right-of-Way,1,A23
2/14/2020,19:40,BROOKLYN,Following Too Closely,1,A24
2/14/2020,23:00,QUEENS,Backing Unsafely,1,A25
2/14/2020,16:05,MANHATTAN,Unspecified,1,A26
2/14/2020,2:14,MANHATTAN,Unspecified,1,A27
2/14/2020,20:50,MANHATTAN,Driver Inattention/Distraction,1,A28
2/14/2020,0:25,QUEENS,Unsafe Speed,1,A29
2/14/2020,16:45,Unspecified,Following Too Closely,1,A30
2/14/2020,8:55,Unspecified,Failure to Yield Right-of-Way,1,A31
2/14/2020,18:30,BROOKLYN,Unspecified,1,A32
2/14/2020,16:30,MANHATTAN,Passing or Lane Usage Improper,1,A33
2/14/2020,18:35,BROOKLYN,Driver Inattention/Distraction,1,A34
2/14/2020,13:15,BROOKLYN,Failure to Yield Right-of-Way,1,A35
2/14/2020,23:50,BROOKLYN,Driver Inattention/Distraction,1,A36
2/14/2020,20:18,Unspecified,Following Too Closely,1,A37
2/14/2020,8:20,BRONX,Unspecified,1,A38
2/14/2020,13:20,Unspecified,Reaction to Uninvolved Vehicle,1,A39
2/14/2020,9:10,BROOKLYN,Unspecified,1,A40
2/14/2020,17:45,Unspecified,Following Too Closely,1,A41
2/14/2020,12:50,MANHATTAN,Unspecified,1,A42
2/14/2020,21:31,MANHATTAN,Driver Inattention/Distraction,1,A43
2/14/2020,18:42,QUEENS,Driver Inattention/Distraction,1,A44
